outlet_name,feed_name,feed_url,website_url,category,coverage_scope,language,owner_network,type,description,verified
CBC News,Top Stories,https://www.cbc.ca/cmlink/rss-topstories,https://www.cbc.ca,General News,National,English,CBC/Radio-Canada,Public Broadcaster,"Canada's national public broadcaster — top stories across all beats",yes
CBC News,Canada,http://rss.cbc.ca/lineup/canada.xml,https://www.cbc.ca,National News,National,English,CBC/Radio-Canada,Public Broadcaster,"National news stories from across Canada",yes
CBC News,World,http://rss.cbc.ca/lineup/world.xml,https://www.cbc.ca,World News,International,English,CBC/Radio-Canada,Public Broadcaster,"International news coverage",yes
CBC News,Politics,http://rss.cbc.ca/lineup/politics.xml,https://www.cbc.ca,Politics,National,English,CBC/Radio-Canada,Public Broadcaster,"Federal and provincial political news from Ottawa and across Canada",yes
CBC News,Business,http://rss.cbc.ca/lineup/business.xml,https://www.cbc.ca,Business,National,English,CBC/Radio-Canada,Public Broadcaster,"Canadian and global business and economic news",yes
CBC News,Health,http://rss.cbc.ca/lineup/health.xml,https://www.cbc.ca,Health,National,English,CBC/Radio-Canada,Public Broadcaster,"Health news and medical reporting",yes
CBC News,Arts & Entertainment,http://rss.cbc.ca/lineup/arts.xml,https://www.cbc.ca,Entertainment,National,English,CBC/Radio-Canada,Public Broadcaster,"Arts and culture and entertainment coverage",yes
CBC News,Technology & Science,http://rss.cbc.ca/lineup/technology.xml,https://www.cbc.ca,Technology,National,English,CBC/Radio-Canada,Public Broadcaster,"Tech industry news and scientific discoveries",yes
CBC News,Sports,http://rss.cbc.ca/lineup/sports.xml,https://www.cbc.ca,Sports,National,English,CBC/Radio-Canada,Public Broadcaster,"Canadian and international sports coverage",yes
CBC News,Indigenous,https://www.cbc.ca/cmlink/rss-cbcaboriginal,https://www.cbc.ca/news/indigenous,Indigenous,National,English,CBC/Radio-Canada,Public Broadcaster,"News and current affairs from Indigenous communities across Canada",yes
Global News,All Stories,https://globalnews.ca/feed/,https://www.globalnews.ca,General News,National,English,Corus Entertainment,Private Broadcaster,"National news from Global Television Network",yes
Global News,National,https://globalnews.ca/national/feed/,https://www.globalnews.ca,National News,National,English,Corus Entertainment,Private Broadcaster,"Canadian national news stories",yes
Global News,World,https://globalnews.ca/world/feed/,https://www.globalnews.ca,World News,International,English,Corus Entertainment,Private Broadcaster,"International news coverage",yes
Global News,Politics,https://globalnews.ca/politics/feed/,https://www.globalnews.ca,Politics,National,English,Corus Entertainment,Private Broadcaster,"Political news from Ottawa and across Canada",yes
Global News,Money,https://globalnews.ca/money/feed/,https://www.globalnews.ca,Business,National,English,Corus Entertainment,Private Broadcaster,"Personal finance and economy and business news",yes
Global News,Entertainment,https://globalnews.ca/entertainment/feed/,https://www.globalnews.ca,Entertainment,National,English,Corus Entertainment,Private Broadcaster,"Entertainment and celebrity and pop culture news",yes
Global News,Sports,https://globalnews.ca/sports/feed/,https://www.globalnews.ca,Sports,National,English,Corus Entertainment,Private Broadcaster,"Sports headlines and scores",yes
Global News,Health,https://globalnews.ca/health/feed/,https://www.globalnews.ca,Health,National,English,Corus Entertainment,Private Broadcaster,"Health and wellness reporting",yes
Global News,Tech,https://globalnews.ca/tech/feed/,https://www.globalnews.ca,Technology,National,English,Corus Entertainment,Private Broadcaster,"Technology and science news",yes
Global News,Environment,https://globalnews.ca/environment/feed/,https://www.globalnews.ca,Environment,National,English,Corus Entertainment,Private Broadcaster,"Environmental and climate news",yes
The Globe and Mail,Homepage,https://www.theglobeandmail.com/arc/outboundfeeds/rss/category/homepage/,https://www.theglobeandmail.com,General News,National,English,Woodbridge Company,Newspaper,"Canada's national newspaper of record — homepage top stories",yes
The Globe and Mail,Canada,https://www.theglobeandmail.com/arc/outboundfeeds/rss/category/canada/,https://www.theglobeandmail.com,National News,National,English,Woodbridge Company,Newspaper,"National news coverage from across Canada",yes
The Globe and Mail,World,https://www.theglobeandmail.com/arc/outboundfeeds/rss/category/world/,https://www.theglobeandmail.com,World News,International,English,Woodbridge Company,Newspaper,"International news and analysis",yes
The Globe and Mail,Politics,https://www.theglobeandmail.com/arc/outboundfeeds/rss/category/politics/,https://www.theglobeandmail.com,Politics,National,English,Woodbridge Company,Newspaper,"Canadian political news and opinion",yes
The Globe and Mail,Business,https://www.theglobeandmail.com/arc/outboundfeeds/rss/category/business/,https://www.theglobeandmail.com,Business,National,English,Woodbridge Company,Newspaper,"Report on Business — markets and investing and corporate news",yes
The Globe and Mail,Opinion,https://www.theglobeandmail.com/arc/outboundfeeds/rss/category/opinion/,https://www.theglobeandmail.com,Opinion,National,English,Woodbridge Company,Newspaper,"Editorials and op-eds and columnists",yes
National Post,All Stories,https://nationalpost.com/feed/,https://www.nationalpost.com,General News,National,English,Postmedia Network,Newspaper,"National news and opinion and analysis with a centre-right editorial voice",yes
Financial Post,All Stories,https://financialpost.com/feed/,https://www.financialpost.com,Business,National,English,Postmedia Network,Newspaper,"Canadian business and investing and personal finance news",yes
Toronto Star,Top Stories,https://www.thestar.com/search/?f=rss&t=article&c=news*&l=50&s=start_time&sd=desc,https://www.thestar.com,General News,National / Toronto,English,NordStar Capital,Newspaper,"Canada's largest daily newspaper — general news with progressive editorial stance",yes
Toronto Sun,News,https://torontosun.com/category/news/feed,https://www.torontosun.com,General News,National / Toronto,English,Postmedia Network,Newspaper,"Toronto and national news with a populist-conservative editorial voice",yes
Montreal Gazette,All Stories,https://montrealgazette.com/feed/,https://www.montrealgazette.com,General News,Montreal / Quebec,English,Postmedia Network,Newspaper,"Montreal's major English-language daily newspaper",yes
Ottawa Citizen,All Stories,https://ottawacitizen.com/feed/,https://www.ottawacitizen.com,General News,Ottawa / National,English,Postmedia Network,Newspaper,"Ottawa's daily newspaper — federal politics and local news",yes
Vancouver Sun,All Stories,https://vancouversun.com/feed/,https://www.vancouversun.com,General News,Vancouver / BC,English,Postmedia Network,Newspaper,"Vancouver's daily newspaper — BC news and politics and culture",yes
Calgary Herald,All Stories,https://calgaryherald.com/feed/,https://www.calgaryherald.com,General News,Calgary / Alberta,English,Postmedia Network,Newspaper,"Calgary's daily newspaper — Alberta news and energy sector and local coverage",yes
Edmonton Journal,All Stories,https://edmontonjournal.com/feed/,https://www.edmontonjournal.com,General News,Edmonton / Alberta,English,Postmedia Network,Newspaper,"Edmonton's daily newspaper — Alberta news and local coverage",yes
The Province,All Stories,https://theprovince.com/feed/,https://www.theprovince.com,General News,Vancouver / BC,English,Postmedia Network,Newspaper,"Vancouver tabloid — BC news and sports and entertainment",yes
Winnipeg Free Press,All Stories,https://www.winnipegfreepress.com/rss/,https://www.winnipegfreepress.com,General News,Winnipeg / Manitoba,English,FP Canadian Newspapers LP,Newspaper,"Winnipeg's daily broadsheet — Manitoba news and Prairies coverage",yes
La Presse,Actualites,https://www.lapresse.ca/actualites/rss,https://www.lapresse.ca,General News,National / Quebec,French,La Presse Inc.,Newspaper (Digital),"Major French-language digital newspaper — Quebec and national news",yes
Radio-Canada,Nouvelles,https://ici.radio-canada.ca/rss/4159,https://ici.radio-canada.ca,General News,National,French,CBC/Radio-Canada,Public Broadcaster,"French-language arm of Canada's public broadcaster — national news",yes
Radio-Canada,International,https://ici.radio-canada.ca/rss/96,https://ici.radio-canada.ca,World News,International,French,CBC/Radio-Canada,Public Broadcaster,"International news in French",yes
Radio-Canada,Politique,https://ici.radio-canada.ca/rss/4175,https://ici.radio-canada.ca,Politics,National,French,CBC/Radio-Canada,Public Broadcaster,"Political news in French",yes
BNN Bloomberg,All Stories,https://www.bnnbloomberg.ca/arc/outboundfeeds/rss/category/news/,https://www.bnnbloomberg.ca,Business,National,English,Bell Media / Bloomberg LP,Business TV,"Canada's business news network — markets and economy and investing",yes
iPolitics,All Stories,https://www.ipolitics.ca/feed/,https://www.ipolitics.ca,Politics,National,English,TorStar Corp,Digital News,"Dedicated Canadian political news and policy analysis and parliamentary reporting",yes
The Tyee,All Stories,https://thetyee.ca/rss2.xml,https://www.thetyee.ca,General News,BC / National,English,Independent,Digital News,"Independent BC-based news — investigative journalism and politics and culture",yes
The Narwhal,Most Recent,https://thenarwhal.ca/feed,https://www.thenarwhal.ca,Environment,National,English,Independent (Non-profit),Digital News,"Investigative environmental journalism covering Canada's natural world",yes
The Narwhal,Investigations,https://thenarwhal.ca/category/investigation/feed,https://www.thenarwhal.ca,Environment,National,English,Independent (Non-profit),Digital News,"Long-form investigative pieces on environmental issues",yes
The Conversation Canada,All Stories,https://theconversation.com/ca/articles.atom,https://theconversation.com/ca,Analysis,National,English,Independent (Non-profit),Academic Media,"Expert analysis and commentary from Canadian academics and researchers",yes
Canada's National Observer,All Stories,https://www.nationalobserver.com/feed,https://www.nationalobserver.com,Environment / Politics,National,English,Observer Media Group,Digital News,"Independent journalism focused on climate and energy and politics",no
Canadaland,All Stories,https://www.canadaland.com/feed/,https://www.canadaland.com,Media / Politics,National,English,Independent,Digital News / Podcast,"Media criticism and investigative reporting and podcast network",yes
The Logic,All Stories,https://thelogic.co/feed/,https://www.thelogic.co,Technology / Business,National,English,Independent,Digital News,"Canadian technology and innovation news for decision-makers",yes
The Walrus,All Stories,https://thewalrus.ca/feed/,https://www.thewalrus.ca,Culture / Ideas,National,English,The Walrus Foundation,Magazine,"Long-form journalism and essays on Canadian culture and ideas and politics",yes
Daily Hive,All Stories,https://dailyhive.com/feed,https://www.dailyhive.com,General News / Lifestyle,Vancouver / Toronto / Calgary / Montreal,English,Buzz Connected Media,Digital News,"Urban lifestyle and local news across major Canadian cities",yes
CityNews Toronto,All Stories,https://toronto.citynews.ca/feed/,https://toronto.citynews.ca,General News,Toronto / GTA,English,Rogers Sports & Media,Private Broadcaster,"Local Toronto news and breaking stories",yes
The Hub,All Stories,https://thehub.ca/feed/,https://thehub.ca,Politics / Policy,National,English,Independent (Non-profit),Digital News,"Centre-right policy analysis and commentary — economics and free markets and Canadian identity",yes
True North Centre,All Stories,https://tnc.news/feed/,https://tnc.news,Politics / News,National,English,Independent,Digital News,"Conservative-leaning digital news covering Canadian politics and free speech issues",yes
Western Standard,All Stories,https://www.westernstandard.news/feed,https://www.westernstandard.news,Politics / News,Western Canada,English,Independent,Digital News,"Independent news and commentary focused on Western Canadian issues and politics",yes
Rebel News,All Stories,https://www.rebelnews.com/rss,https://www.rebelnews.com,Politics / News,National,English,Independent,Digital News,"Right-wing digital media covering Canadian politics and activism",yes
Ricochet Media,All Stories,https://ricochet.media/feed,https://ricochet.media,Politics / Investigative,National,English / French,Independent (Non-profit),Digital News,"Progressive independent journalism and investigative reporting",yes
Rabble.ca,All Stories,https://rabble.ca/feed/,https://rabble.ca,Politics / Activism,National,English,Independent (Non-profit),Digital News,"Progressive news and discussion from a social justice perspective",yes
Canada.com,All Stories,https://o.canada.com/feed,https://www.canada.com,General News,National,English,Postmedia Network,Digital News,"Aggregated Canadian news from across Postmedia network",yes
Edmonton Sun,News,https://edmontonsun.com/category/news/feed,https://www.edmontonsun.com,General News,Edmonton / Alberta,English,Postmedia Network,Newspaper,"Edmonton tabloid news — local Alberta and national stories",yes
Saskatoon StarPhoenix,All Stories,https://thestarphoenix.com/feed/,https://www.thestarphoenix.com,General News,Saskatoon / Saskatchewan,English,Postmedia Network,Newspaper,"Saskatoon's daily newspaper covering Saskatchewan news",yes
Regina Leader-Post,All Stories,https://leaderpost.com/feed/,https://www.leaderpost.com,General News,Regina / Saskatchewan,English,Postmedia Network,Newspaper,"Regina's daily newspaper covering Saskatchewan news and politics",yes
London Free Press,News,https://lfpress.com/category/news/feed,https://www.lfpress.com,General News,London / Southwestern Ontario,English,Postmedia Network,Newspaper,"Southwestern Ontario daily newspaper covering local and regional news",yes
Victoria Times Colonist,All Stories,https://www.timescolonist.com/rss/,https://www.timescolonist.com,General News,Victoria / Vancouver Island,English,Glacier Media,Newspaper,"Oldest daily newspaper in Western Canada — Victoria and Island news",yes
